iter	Passed	Remaining
267	400	1094
268	401	1091
269	402	1087
270	403	1084
271	403	1080
272	404	1077
273	405	1073
274	406	1070
275	406	1066
276	407	1063
277	408	1059
278	408	1056
279	409	1053
280	410	1050
281	411	1046
282	411	1043
283	412	1039
284	413	1036
285	413	1033
286	414	1030
287	415	1026
288	416	1023
289	416	1020
290	417	1017
291	418	1014
292	419	1011
293	419	1007
294	420	1004
295	421	1001
296	422	998
297	422	995
298	423	992
299	424	989
300	424	986
301	425	983
302	426	980
303	427	977
304	427	974
305	428	971
306	429	969
307	430	966
308	430	963
309	431	960
310	432	957
311	433	954
312	433	952
313	434	949
314	435	946
315	435	943
316	436	940
317	437	938
318	438	935
319	438	932
320	439	930
321	440	927
322	441	924
323	441	922
324	442	919
325	443	916
326	444	914
327	444	911
328	445	908
329	446	906
330	447	903
331	447	901
332	448	898
333	449	895
334	449	893
335	450	890
336	451	888
337	452	885
338	452	882
339	453	880
340	454	878
341	455	876
342	456	874
343	457	871
344	457	869
345	458	866
346	459	864
347	459	861
348	460	859
349	461	856
350	462	854
351	462	851
352	463	849
353	464	847
354	464	844
355	465	842
356	466	839
357	467	837
358	467	835
359	468	833
360	469	830
361	470	828
362	470	826
363	471	824
364	472	821
365	473	819
366	473	817
367	474	814
368	475	812
369	476	810
370	476	808
371	477	806
372	478	803
373	478	801
374	479	799
375	480	797
376	481	796
377	482	794
378	483	792
379	484	790
380	485	788
381	485	785
382	486	783
383	487	781
384	487	779
385	488	777
386	489	774
387	490	772
388	490	770
389	491	768
390	492	766
391	492	764
392	493	762
393	494	760
394	495	758
395	495	756
396	496	754
397	497	752
398	498	750
399	498	748
400	499	746
401	500	744
402	500	741
403	501	739
404	502	737
405	502	735
406	503	733
407	504	731
408	505	729
409	505	727
410	506	725
411	507	724
412	508	722
413	508	720
414	509	718
415	510	716
416	511	714
417	511	712
418	512	710
419	513	708
420	513	706
421	514	704
422	515	702
423	515	700
424	516	699
425	517	697
426	518	695
427	518	693
428	519	691
429	520	689
430	520	687
431	521	685
432	522	684
433	523	682
434	525	682
435	526	680
436	527	679
437	528	677
438	528	675
439	529	674
440	530	672
441	531	671
442	532	669
443	533	668
444	534	666
445	535	665
446	537	664
447	537	662
448	538	661
449	539	659
450	541	658
451	542	657
452	543	656
453	545	656
454	546	655
455	547	653
456	548	652
457	549	650
458	550	648
459	551	647
460	552	645
461	552	643
462	554	642
463	555	641
464	557	641
465	558	640
466	560	639
467	561	638
468	562	636
469	563	635
470	563	633
471	564	631
472	565	630
473	566	628
474	566	626
475	568	625
476	569	624
477	571	624
478	573	623
479	574	622
480	575	620
481	576	619
